id,Épica,Tipo,Historia de usuario,Criterios de aceptación,Valor (1–5),Riesgo (1–5),Puntos,Prioridad,¿Trata datos personales?,¿Requisitos de seguridad?,Sprint previsto
US-15,Seguimiento,Historia de usuario,"Como estudiante quiero identificar los cursos donde estoy en riesgo de desaprobar.","El sistema identifica los cursos cuyo rendimiento proyectado está por debajo de la nota mínima.",5,5,5,5.0,Sí,"Protección del rendimiento académico",Sprint 4
US-16,Alertas,Historia de usuario,"Como estudiante quiero recibir alertas cuando mi rendimiento académico sea bajo.","El sistema genera una alerta cuando el rendimiento del estudiante se encuentra en riesgo.",4,4,5,4.0,Sí,"Notificaciones privadas y controladas",Sprint 4
US-17,Historial,Historia de usuario,"Como estudiante quiero consultar mis notas anteriores para comparar mi rendimiento.","El sistema permite consultar el historial académico del estudiante.",3,2,3,3.8,Sí,"Acceso restringido al historial",Sprint 4
US-18,Seguridad,Historia de usuario,"Como estudiante quiero que mis datos académicos estén protegidos.","Los datos académicos solo pueden ser consultados por el estudiante autorizado.",5,5,5,5.0,Sí,"Cifrado, autenticación y autorización",Sprint 1
US-19,Conectividad,Historia de usuario,"Como estudiante quiero consultar mis últimas notas cuando no tenga conexión a Internet.","El sistema muestra las últimas notas disponibles almacenadas localmente cuando no existe conexión.",4,5,5,4.4,Sí,"Protección del almacenamiento local",Sprint 4
US-20,Errores,Historia de usuario,"Como estudiante quiero recibir mensajes claros cuando ocurra un error.","El sistema muestra mensajes comprensibles sin revelar información técnica sensible.",4,3,3,4.2,No,"No mostrar información sensible del sistema",Sprint 3
US-21,Configuración,Historia de usuario,"Como estudiante quiero definir la nota mínima aprobatoria.","El sistema permite configurar una nota mínima válida para determinar la aprobación.",4,4,3,4.0,No,"Validación de configuración",Sprint 4
US-22,Configuración,Historia de usuario,"Como estudiante quiero configurar la ponderación de las evaluaciones de cada curso.","El sistema permite registrar ponderaciones válidas cuya suma corresponda al porcentaje establecido.",5,4,5,4.6,Sí,"Validación y protección de configuración académica",Sprint 3
US-23,Reportes,Historia de usuario,"Como estudiante quiero visualizar un resumen de mi rendimiento académico.","El sistema presenta un resumen de promedios y estado académico.",4,3,3,4.2,Sí,"Acceso autenticado",Sprint 4
US-24,Interfaz,Historia de usuario,"Como estudiante quiero utilizar una interfaz sencilla para consultar rápidamente mis notas.","La información principal debe ser visible y accesible mediante una navegación sencilla.",4,3,3,4.2,No,"Evitar exposición accidental de información",Sprint 1
US-25,Arquitectura,Tarea técnica,"Como equipo queremos configurar la arquitectura base de la aplicación móvil.","La estructura inicial del proyecto queda configurada y permite iniciar el desarrollo.",3,5,5,3.8,No,"Configuración segura del proyecto",Sprint 1
